Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148W","D_SOD-123",-211.100000,-139.400000,90.000000,bottom
"D2","1N4148W","D_SOD-123",-169.500000,-104.250000,90.000000,bottom
"D3","1N4148W","D_SOD-123",-164.500000,-88.250000,90.000000,bottom
"D4","1N4148W","D_SOD-123",-166.500000,-98.650000,90.000000,bottom
"D5","1N4148W","D_SOD-123",-159.800000,-104.950000,90.000000,bottom
"D6","1N4148W","D_SOD-123",-119.500000,-60.750000,-90.000000,bottom
"D7","1N4148W","D_SOD-123",-49.300000,-57.300000,-90.000000,bottom
"D8","1N4148W","D_SOD-123",-129.750000,-97.400000,-90.000000,bottom
"D12","1N4148W","D_SOD-123",-163.000000,-145.100000,90.000000,bottom
"D13","1N4148W","D_SOD-123",-180.000000,-142.250000,90.000000,bottom
"D14","1N4148W","D_SOD-123",-198.500000,-141.250000,90.000000,bottom
"D15","1N4148W","D_SOD-123",-121.000000,-125.750000,-90.000000,bottom
"D16","1N4148W","D_SOD-123",-117.500000,-143.250000,-90.000000,bottom
"D17","1N4148W","D_SOD-123",-99.500000,-140.650000,-90.000000,bottom
"D18","1N4148W","D_SOD-123",-97.250000,-123.750000,-90.000000,bottom
"D21","1N4148W","D_SOD-123",-159.500000,-132.100000,90.000000,bottom
"D23","1N4148W","D_SOD-123",-174.000000,-112.750000,90.000000,bottom
"D24","1N4148W","D_SOD-123",-178.000000,-130.550000,90.000000,bottom
"D25","1N4148W","D_SOD-123",-114.000000,-73.750000,-90.000000,bottom
"D26","1N4148W","D_SOD-123",-110.500000,-90.250000,-90.000000,bottom
"D27","1N4148W","D_SOD-123",-106.750000,-106.750000,-90.000000,bottom
"D28","1N4148W","D_SOD-123",-102.500000,-123.750000,-90.000000,bottom
"D31","1N4148W","D_SOD-123",-166.000000,-79.250000,90.000000,bottom
"D32","1N4148W","D_SOD-123",-170.500000,-95.900000,90.000000,bottom
"D34","1N4148W","D_SOD-123",-192.500000,-118.250000,90.000000,bottom
"D35","1N4148W","D_SOD-123",-98.000000,-61.250000,-90.000000,bottom
"D36","1N4148W","D_SOD-123",-94.500000,-78.250000,-90.000000,bottom
"D37","1N4148W","D_SOD-123",-91.000000,-94.750000,-90.000000,bottom
"D38","1N4148W","D_SOD-123",-87.000000,-111.750000,-90.000000,bottom
"D41","1N4148W","D_SOD-123",-176.500000,-59.400000,90.000000,bottom
"D42","1N4148W","D_SOD-123",-186.000000,-84.750000,90.000000,bottom
"D43","1N4148W","D_SOD-123",-190.000000,-101.400000,90.000000,bottom
"D45","1N4148W","D_SOD-123",-82.000000,-50.900000,-90.000000,bottom
"D46","1N4148W","D_SOD-123",-78.000000,-66.900000,-90.000000,bottom
"D47","1N4148W","D_SOD-123",-75.000000,-84.750000,-90.000000,bottom
"D48","1N4148W","D_SOD-123",-71.500000,-102.100000,-90.000000,bottom
"D51","1N4148W","D_SOD-123",-198.000000,-56.100000,90.000000,bottom
"D52","1N4148W","D_SOD-123",-202.500000,-72.750000,90.000000,bottom
"D53","1N4148W","D_SOD-123",-206.000000,-89.250000,90.000000,bottom
"D54","1N4148W","D_SOD-123",-209.000000,-105.400000,90.000000,bottom
"D56","1N4148W","D_SOD-123",-60.000000,-67.750000,-90.000000,bottom
"D57","1N4148W","D_SOD-123",-56.000000,-83.400000,-90.000000,bottom
"D58","1N4148W","D_SOD-123",-53.000000,-103.100000,-90.000000,bottom
"D61","1N4148W","D_SOD-123",-217.000000,-54.900000,90.000000,bottom
"D62","1N4148W","D_SOD-123",-220.000000,-71.750000,90.000000,bottom
"D63","1N4148W","D_SOD-123",-223.500000,-87.400000,90.000000,bottom
"D64","1N4148W","D_SOD-123",-227.000000,-104.400000,90.000000,bottom
"D65","1N4148W","D_SOD-123",-63.000000,-52.250000,-90.000000,bottom
"D67","1N4148W","D_SOD-123",-38.250000,-83.250000,-90.000000,bottom
"D68","1N4148W","D_SOD-123",-35.000000,-100.400000,-90.000000,bottom
"D71","1N4148W","D_SOD-123",-235.500000,-55.400000,90.000000,bottom
"D72","1N4148W","D_SOD-123",-238.500000,-72.400000,90.000000,bottom
"D73","1N4148W","D_SOD-123",-242.000000,-88.250000,90.000000,bottom
"D74","1N4148W","D_SOD-123",-246.000000,-106.750000,90.000000,bottom
"D75","1N4148W","D_SOD-123",-45.000000,-48.750000,-90.000000,bottom
"D76","1N4148W","D_SOD-123",-41.500000,-66.600000,-90.000000,bottom
"D78","1N4148W","D_SOD-123",-22.000000,-97.750000,-90.000000,bottom
"D82","1N4148W","D_SOD-123",-256.500000,-69.850000,90.000000,bottom
"D83","1N4148W","D_SOD-123",-260.000000,-86.400000,90.000000,bottom
"D84","1N4148W","D_SOD-123",-262.500000,-98.900000,90.000000,bottom
"D86","1N4148W","D_SOD-123",-24.000000,-66.900000,-90.000000,bottom
"D87","1N4148W","D_SOD-123",-20.500000,-81.900000,-90.000000,bottom
"D97","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-132.500000,-110.750000,0.000000,bottom
"D98","1N4148W","D_SOD-123",-135.250000,-116.150000,-90.000000,bottom
"D99","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-163.500000,-111.250000,0.000000,bottom
"D101","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-50.000000,-44.750000,0.000000,bottom
"D102","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-58.500000,-46.250000,0.000000,bottom
"D103","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-68.500000,-44.250000,0.000000,bottom
"D104","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-77.000000,-45.750000,0.000000,bottom
"D105","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-87.000000,-43.750000,0.000000,bottom
"D106","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-96.000000,-45.250000,0.000000,bottom
"D107","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-200.500000,-45.750000,0.000000,bottom
"D108","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-208.500000,-44.250000,0.000000,bottom
"D109","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-219.000000,-46.250000,0.000000,bottom
"D110","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-227.000000,-44.250000,0.000000,bottom
"D111","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-237.500000,-46.750000,0.000000,bottom
"D112","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-245.500000,-44.750000,0.000000,bottom
"D113","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-58.000000,-55.750000,0.000000,bottom
"D114","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-76.500000,-55.250000,0.000000,bottom
"D115","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-95.000000,-54.750000,0.000000,bottom
"D116","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-103.000000,-55.750000,0.000000,bottom
"D117","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-111.500000,-57.250000,0.000000,bottom
"D118","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-185.000000,-57.750000,0.000000,bottom
"D119","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-193.000000,-55.750000,0.000000,bottom
"D120","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-210.000000,-52.250000,0.000000,bottom
"D121","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-229.500000,-52.750000,0.000000,bottom
"D122","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-249.000000,-53.250000,0.000000,bottom
"D123","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-29.000000,-57.750000,0.000000,bottom
"D124","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-37.500000,-59.250000,0.000000,bottom
"D125","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-47.000000,-61.750000,0.000000,bottom
"D126","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-55.000000,-62.750000,0.000000,bottom
"D127","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-65.000000,-60.750000,0.000000,bottom
"D128","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-73.500000,-62.250000,0.000000,bottom
